image_name,type,color_path,grey_path
anime_63.jpg,anime,./anime/color/,./anime/grey/
anime_189.jpg,anime,./anime/color/,./anime/grey/
anime_77.jpg,anime,./anime/color/,./anime/grey/
anime_412.png,anime,./anime/color/,./anime/grey/
anime_176.jpg,anime,./anime/color/,./anime/grey/
anime_88.jpg,anime,./anime/color/,./anime/grey/
anime_261.jpeg,anime,./anime/color/,./anime/grey/
anime_348.jpg,anime,./anime/color/,./anime/grey/
anime_360.jpg,anime,./anime/color/,./anime/grey/
anime_406.jpg,anime,./anime/color/,./anime/grey/
anime_374.jpg,anime,./anime/color/,./anime/grey/
anime_200.jpg,anime,./anime/color/,./anime/grey/
anime_220.jpeg,anime,./anime/color/,./anime/grey/
anime_109.jpeg,anime,./anime/color/,./anime/grey/
anime_201.jpg,anime,./anime/color/,./anime/grey/
anime_229.jpg,anime,./anime/color/,./anime/grey/
anime_375.jpg,anime,./anime/color/,./anime/grey/
anime_361.jpg,anime,./anime/color/,./anime/grey/
anime_407.jpg,anime,./anime/color/,./anime/grey/
anime_133.jpeg,anime,./anime/color/,./anime/grey/
anime_177.jpg,anime,./anime/color/,./anime/grey/
anime_89.jpg,anime,./anime/color/,./anime/grey/
anime_163.jpg,anime,./anime/color/,./anime/grey/
anime_188.jpg,anime,./anime/color/,./anime/grey/
anime_76.jpg,anime,./anime/color/,./anime/grey/
anime_62.jpg,anime,./anime/color/,./anime/grey/
anime_349.png,anime,./anime/color/,./anime/grey/
anime_74.jpg,anime,./anime/color/,./anime/grey/
anime_113.jpeg,anime,./anime/color/,./anime/grey/
anime_48.jpg,anime,./anime/color/,./anime/grey/
anime_377.png,anime,./anime/color/,./anime/grey/
anime_149.jpg,anime,./anime/color/,./anime/grey/
anime_175.jpg,anime,./anime/color/,./anime/grey/
anime_388.jpg,anime,./anime/color/,./anime/grey/
anime_282.jpeg,anime,./anime/color/,./anime/grey/
anime_411.jpg,anime,./anime/color/,./anime/grey/
anime_405.jpg,anime,./anime/color/,./anime/grey/
anime_363.jpg,anime,./anime/color/,./anime/grey/
anime_203.jpg,anime,./anime/color/,./anime/grey/
anime_217.jpg,anime,./anime/color/,./anime/grey/
anime_105.jpeg,anime,./anime/color/,./anime/grey/
anime_202.jpg,anime,./anime/color/,./anime/grey/
anime_404.jpg,anime,./anime/color/,./anime/grey/
anime_362.jpg,anime,./anime/color/,./anime/grey/
